Occupation,Number_of_workers_2024,Median_weekly_earnings_2024,Number_of_workers_2023,Median_weekly_earnings_2023,Number_of_workers_2022,Median_weekly_earnings_2022,Number_of_workers_2021,Median_weekly_earnings_2021,Number_of_workers_2020,Median_weekly_earnings_2020
"Total, full-time wage and salary workers","120,053","1,159","120,907","1,117","118,869","1,059","114,316",998,"110,387",984
"Management, professional, and related occupations","56,051","1,582","56,077","1,527","53,962","1,465","51,166","1,390","50,023","1,356"
"Management, business, and financial operations occupations","24,084","1,731","23,989","1,630","22,707","1,569","21,529","1,482","20,811","1,461"
Management occupations,"15,539","1,773","15,762","1,730","14,909","1,658","13,942","1,546","13,517","1,541"
Chief executives,"1,213","2,924","1,261","2,901","1,249","2,701","1,151","2,473","1,157","2,402"
General and operations managers,"1,266","1,650","1,222","1,544","1,051","1,558",999,"1,449",983,"1,453"
Legislators,15,–,6,–,9,–,13,–,11,–
Advertising and promotions managers,39,–,47,–,60,"1,942",55,"1,338",46,–
Marketing managers,446,"1,886",508,"1,812",586,"1,729",490,"1,545",483,"1,537"
Sales managers,538,"2,217",566,"2,004",541,"1,838",500,"1,749",495,"1,794"
Public relations and fundraising managers,136,"1,831",114,"1,889",119,"1,746",100,"1,670",74,"1,344"
Administrative services managers,74,"1,494",75,"1,405",69,"1,339",50,"1,227",62,"1,284"
Facilities managers,131,"1,375",145,"1,436",136,"1,460",132,"1,456",122,"1,318"
Computer and information systems managers,712,"2,333",781,"2,303",732,"2,087",675,"2,085",703,"2,018"
Financial managers,"1,360","1,890","1,355","1,757","1,271","1,713","1,220","1,569","1,228","1,492"
Compensation and benefits managers,9,–,16,–,13,–,18,–,14,–
Human resources managers,299,"1,869",324,"1,756",294,"1,725",260,"1,587",264,"1,644"
Training and development managers,65,"1,536",58,"1,976",65,"1,770",49,–,47,–
Industrial production managers,288,"1,873",260,"1,875",275,"1,754",236,"1,636",248,"1,550"
Purchasing managers,218,"1,850",234,"1,741",223,"1,729",214,"1,562",221,"1,544"
"Transportation, storage, and distribution managers",343,"1,288",360,"1,262",321,"1,231",304,"1,113",266,972
"Farmers, ranchers, and other agricultural managers",132,989,116,"1,171",113,975,126,"1,032",109,874
Construction managers,785,"1,765",693,"1,680",656,"1,610",633,"1,534",606,"1,575"
Education and childcare administrators,892,"1,653",941,"1,565",884,"1,568",856,"1,551",846,"1,462"
