Occupation,Number_of_workers_2023,Median_weekly_earnings_2023,Number_of_workers_2022,Median_weekly_earnings_2022
"Total, full-time wage and salary workers","120,907","1,117","118,869","1,059"
"Management, professional, and related occupations","56,077","1,527","53,962","1,465"
"Management, business, and financial operations occupations","23,989","1,630","22,707","1,569"
Management occupations,"15,762","1,730","14,909","1,658"
Chief executives,"1,261","2,901","1,249","2,701"
General and operations managers,"1,222","1,544","1,051","1,558"
Legislators,6,–,9,–
Advertising and promotions managers,47,–,60,"1,942"
Marketing managers,508,"1,812",586,"1,729"
Sales managers,566,"2,004",541,"1,838"
Public relations and fundraising managers,114,"1,889",119,"1,746"
Administrative services managers,75,"1,405",69,"1,339"
Facilities managers,145,"1,436",136,"1,460"
Computer and information systems managers,781,"2,303",732,"2,087"
Financial managers,"1,355","1,757","1,271","1,713"
Compensation and benefits managers,16,–,13,–
Human resources managers,324,"1,756",294,"1,725"
Training and development managers,58,"1,976",65,"1,770"
Industrial production managers,260,"1,875",275,"1,754"
Purchasing managers,234,"1,741",223,"1,729"
"Transportation, storage, and distribution managers",360,"1,262",321,"1,231"
"Farmers, ranchers, and other agricultural managers",116,"1,171",113,975
Construction managers,693,"1,680",656,"1,610"
Education and childcare administrators,941,"1,565",884,"1,568"
Architectural and engineering managers,174,"2,904",196,"2,880"
Food service managers,720,988,721,926
Funeral home managers,5,–,7,–
Entertainment and recreation managers,53,"1,035",37,–
Lodging managers,116,"1,257",73,"1,031"
Medical and health services managers,767,"1,634",661,"1,648"
Natural sciences managers,36,–,28,–
Postmasters and mail superintendents,16,–,21,–
"Property, real estate, and community association managers",489,"1,263",469,"1,179"
Social and community service managers,410,"1,382",366,"1,391"
Emergency management directors,13,–,25,–
"Personal service managers, all other",10,–,1,–
"Managers, all other","3,872","1,738","3,635","1,734"
Business and financial operations occupations,"8,227","1,517","7,799","1,464"
"Agents and business managers of artists, performers, and athletes",29,–,23,–
"Buyers and purchasing agents, farm products",8,–,8,–
"Wholesale and retail buyers, except farm products",141,"1,125",114,"1,021"
"Purchasing agents, except wholesale, retail, and farm products",287,"1,370",252,"1,194"
"Claims adjusters, appraisers, examiners, and investigators",367,"1,370",325,"1,198"
Compliance officers,314,"1,458",284,"1,427"
Cost estimators,134,"1,355",123,"1,451"
Human resources workers,893,"1,273",863,"1,356"
"Compensation, benefits, and job analysis specialists",68,"1,252",65,"1,134"
Training and development specialists,144,"1,342",147,"1,301"
Logisticians,182,"1,130",155,"1,360"
Project management specialists,886,"1,811",815,"1,769"
Management analysts,714,"1,890",689,"1,733"
"Meeting, convention, and event planners",98,"1,234",118,"1,227"
Fundraisers,91,"1,481",72,"1,482"
Market research analysts and marketing specialists,416,"1,590",354,"1,546"
"Business operations specialists, all other",474,"1,465",374,"1,271"
Accountants and auditors,"1,394","1,553","1,389","1,523"
Property appraisers and assessors,53,"1,568",68,"1,146"
Budget analysts,37,–,55,"1,738"
Credit analysts,47,–,49,–
Financial and investment analysts,358,"1,668",344,"1,747"
Personal financial advisors,412,"1,884",432,"1,604"
Insurance underwriters,96,"1,367",103,"1,226"
Financial examiners,19,–,19,–
Credit counselors and loan officers,304,"1,360",369,"1,344"
"Tax examiners and collectors, and revenue agents",78,"1,396",65,"1,463"
Tax preparers,63,"1,154",53,"1,146"
Other financial specialists,120,"1,481",72,"1,455"
Professional and related occupations,"32,088","1,458","31,255","1,392"
Computer and mathematical occupations,"6,129","1,890","5,733","1,789"
Computer and information research scientists,38,–,33,–
Computer systems analysts,485,"1,701",457,"1,674"
Information security analysts,209,"2,133",156,"2,076"
Computer programmers,375,"1,889",422,"1,772"
Software developers,"2,104","2,283","1,976","2,282"
Software quality assurance analysts and testers,73,"1,751",79,"1,731"
Web developers,57,"2,197",70,"1,445"
Web and digital interface designers,59,"1,423",52,"1,513"
Computer support specialists,616,"1,424",635,"1,312"
Database administrators and architects,108,"2,113",144,"1,829"
