Occupation,Total_employed_2024,Women_2024,White_2024,Black_or_African_American_2024,Asian_2024,Hispanic_or_Latino_2024,Total_employed_2023,Women_2023,White_2023,Black_or_African_American_2023,Asian_2023,Hispanic_or_Latino_2023,Total_employed_2022,Women_2022,White_2022,Black_or_African_American_2022,Asian_2022,Hispanic_or_Latino_2022,Total_employed_2021,Women_2021,White_2021,Black_or_African_American_2021,Asian_2021,Hispanic_or_Latino_2021,Total_employed_2020,Women_2020,White_2020,Black_or_African_American_2020,Asian_2020,Hispanic_or_Latino_2020
"Total, full-time wage and salary workers","161,346",47.1,76.3,12.8,7.0,19.4,"161,037",46.9,76.5,12.8,6.9,18.8,"158,291",46.8,77.0,12.6,6.7,18.5,"152,581",47.0,77.5,12.3,6.6,18.0,"147,795",46.8,78.0,12.1,6.4,17.6
"Management, professional, and related occupations","70,744",52.3,76.7,10.6,9.4,11.4,"70,275",51.8,76.9,10.6,9.3,11.2,"68,099",51.5,77.7,10.2,9.0,10.9,,,,,,,,,,,,
"Management, business, and financial operations occupations","30,602",45.7,79.8,9.7,7.4,11.8,"30,544",45.7,79.7,9.8,7.5,11.8,"29,350",44.8,80.4,9.4,7.3,11.3,"64,744",52.0,78.3,9.8,9.0,10.4,"63,644",51.7,78.7,9.7,8.6,10.4
Management occupations,"20,657",41.8,81.0,9.1,6.9,12.3,"20,906",41.9,80.9,9.2,7.0,12.1,"20,199",40.5,81.6,9.0,6.6,11.5,"27,864",45.3,80.8,9.2,7.1,10.8,"27,143",44.6,81.7,8.8,6.7,10.9
Chief executives,"1,728",33.0,86.0,6.1,6.4,6.1,"1,780",30.6,85.8,5.2,7.3,6.3,"1,780",29.2,85.9,5.9,6.7,6.8,"18,986",40.9,82.2,8.6,6.5,11.1,"18,564",40.4,83.4,8.0,5.8,10.7
General and operations managers,"1,440",33.8,80.1,9.8,5.3,12.3,"1,359",37.1,82.8,8.4,5.8,13.0,"1,165",35.4,82.4,9.1,5.3,11.5,"1,664",29.1,85.7,5.9,6.8,7.4,"1,669",29.3,88.0,4.3,5.4,7.4
Legislators,15,–,–,–,–,–,12,–,–,–,–,–,14,–,–,–,–,–,"1,085",36.4,82.7,9.3,4.6,10.3,"1,057",30.5,84.4,7.1,4.5,12.4
Advertising and promotions managers,54,55.8,92.0,4.1,3.6,9.8,49,–,–,–,–,–,68,49.7,80.3,13.8,4.4,8.9,21,–,–,–,–,–,25,–,–,–,–,–
Marketing managers,513,64.2,82.6,4.4,9.0,10.4,567,62.4,84.1,7.1,7.1,10.6,656,58.9,83.9,6.8,7.5,11.4,72,42.4,78.7,12.1,5.2,6.2,56,52.1,80.5,14.7,3.9,3.5
Sales managers,555,32.9,87.4,7.8,3.1,10.2,569,33.1,89.7,4.8,2.9,11.7,566,34.2,88.3,5.9,3.5,11.3,576,61.4,83.5,6.2,7.3,8.3,554,60.7,84.1,5.5,7.6,9.9
Public relations and fundraising managers,149,70.1,88.5,6.5,3.7,12.3,110,66.4,82.1,12.2,3.0,9.2,131,64.3,87.4,8.9,2.9,7.5,537,30.6,86.4,5.9,5.0,10.6,521,30.9,87.6,5.8,4.2,7.6
